X	Y	flickr	survey	popcount
279893.65015872	1031311.99149234	0.00000000	1.00000000	0.00000000
319893.65015872	1031311.99149234	4.00000000	9.00000000	1.77002621
329893.65015872	1031311.99149234	2.00000000	9.00000000	239.94287109
339893.65015872	1031311.99149234	3.00000000	10.00000000	398.88000488
349893.65015872	1031311.99149234	0.00000000	4.00000000	111.54592896
359893.65015872	1031311.99149234	0.00000000	4.00000000	200.92819214
369893.65015872	1031311.99149234	0.00000000	3.00000000	39.15481567
379893.65015872	1031311.99149234	0.00000000	3.00000000	0.00000000
389893.65015872	1031311.99149234	0.00000000	1.00000000	0.00000000
159893.65015872	1021311.99149234	0.00000000	1.00000000	0.00000000
259893.65015872	1021311.99149234	0.00000000	1.00000000	0.18907338
269893.65015872	1021311.99149234	0.00000000	1.00000000	0.00000000
279893.65015872	1021311.99149234	0.00000000	1.00000000	0.00000000
299893.65015872	1021311.99149234	0.00000000	1.00000000	0.00000000
309893.65015872	1021311.99149234	0.00000000	1.00000000	0.00000000
319893.65015872	1021311.99149234	18.00000000	10.00000000	231.22062683
329893.65015872	1021311.99149234	11.00000000	11.00000000	1085.09240723
339893.65015872	1021311.99149234	1.00000000	12.00000000	477.72839355
349893.65015872	1021311.99149234	0.00000000	9.00000000	590.09375000
359893.65015872	1021311.99149234	1.00000000	5.00000000	63.10975647
369893.65015872	1021311.99149234	0.00000000	3.00000000	159.37503052
379893.65015872	1021311.99149234	0.00000000	3.00000000	0.00000000
389893.65015872	1021311.99149234	0.00000000	1.00000000	0.00000000
149893.65015872	1011311.99149234	0.00000000	1.00000000	0.00000000
159893.65015872	1011311.99149234	0.00000000	1.00000000	0.00000000
169893.65015872	1011311.99149234	0.00000000	1.00000000	0.00000000
249893.65015872	1011311.99149234	0.00000000	1.00000000	0.00000000
259893.65015872	1011311.99149234	0.00000000	1.00000000	0.00000000
269893.65015872	1011311.99149234	0.00000000	1.00000000	0.00000000
299893.65015872	1011311.99149234	0.00000000	1.00000000	0.00000000
309893.65015872	1011311.99149234	0.00000000	3.00000000	0.00000000
319893.65015872	1011311.99149234	2.00000000	12.00000000	967.49530029
329893.65015872	1011311.99149234	12.00000000	12.00000000	1590.99511719
339893.65015872	1011311.99149234	7.00000000	10.00000000	2809.00268555
349893.65015872	1011311.99149234	6.00000000	10.00000000	4808.30810547
359893.65015872	1011311.99149234	7.00000000	7.00000000	43.53685379
369893.65015872	1011311.99149234	0.00000000	3.00000000	8.08989334
379893.65015872	1011311.99149234	0.00000000	3.00000000	0.00000000
389893.65015872	1011311.99149234	0.00000000	1.00000000	0.00000000
239893.65015872	1001311.99149234	0.00000000	1.00000000	0.00000000
249893.65015872	1001311.99149234	0.00000000	1.00000000	0.00000000
259893.65015872	1001311.99149234	0.00000000	1.00000000	0.00000000
269893.65015872	1001311.99149234	0.00000000	1.00000000	0.00000000
289893.65015872	1001311.99149234	0.00000000	1.00000000	0.00000000
299893.65015872	1001311.99149234	0.00000000	2.00000000	0.00000000
309893.65015872	1001311.99149234	0.00000000	4.00000000	0.00000000
319893.65015872	1001311.99149234	1.00000000	7.00000000	584.31970215
329893.65015872	1001311.99149234	2.00000000	10.00000000	479.41821289
339893.65015872	1001311.99149234	2.00000000	9.00000000	492.60650635
349893.65015872	1001311.99149234	1.00000000	9.00000000	1584.66821289
359893.65015872	1001311.99149234	1.00000000	8.00000000	308.93319702
369893.65015872	1001311.99149234	0.00000000	3.00000000	0.00000000
379893.65015872	1001311.99149234	0.00000000	1.00000000	0.00000000
389893.65015872	1001311.99149234	0.00000000	1.00000000	0.00000000
139893.65015872	991311.99149234	0.00000000	1.00000000	0.00000000
149893.65015872	991311.99149234	0.00000000	1.00000000	0.00000000
159893.65015872	991311.99149234	0.00000000	1.00000000	0.00000000
169893.65015872	991311.99149234	0.00000000	1.00000000	0.00000000
179893.65015872	991311.99149234	0.00000000	1.00000000	0.00000000
189893.65015872	991311.99149234	0.00000000	1.00000000	0.00000000
199893.65015872	991311.99149234	0.00000000	1.00000000	0.00000000
209893.65015872	991311.99149234	0.00000000	1.00000000	0.00000000
229893.65015872	991311.99149234	0.00000000	2.00000000	0.00000000
239893.65015872	991311.99149234	0.00000000	2.00000000	0.00000000
249893.65015872	991311.99149234	0.00000000	2.00000000	0.00000000
259893.65015872	991311.99149234	0.00000000	1.00000000	0.00000000
269893.65015872	991311.99149234	0.00000000	2.00000000	0.00000000
279893.65015872	991311.99149234	0.00000000	2.00000000	0.00000000
289893.65015872	991311.99149234	0.00000000	2.00000000	0.00000000
299893.65015872	991311.99149234	0.00000000	2.00000000	0.00000000
309893.65015872	991311.99149234	0.00000000	5.00000000	0.00000000
319893.65015872	991311.99149234	0.00000000	6.00000000	76.16365051
329893.65015872	991311.99149234	0.00000000	8.00000000	256.09649658
339893.65015872	991311.99149234	2.00000000	8.00000000	310.91378784
349893.65015872	991311.99149234	2.00000000	8.00000000	320.39947510
359893.65015872	991311.99149234	0.00000000	4.00000000	0.00000000
369893.65015872	991311.99149234	0.00000000	3.00000000	0.00000000
379893.65015872	991311.99149234	0.00000000	1.00000000	0.00000000
129893.65015872	981311.99149234	0.00000000	2.00000000	0.00000000
139893.65015872	981311.99149234	0.00000000	2.00000000	0.00000000
149893.65015872	981311.99149234	0.00000000	2.00000000	0.00000000
159893.65015872	981311.99149234	0.00000000	1.00000000	0.00000000
169893.65015872	981311.99149234	0.00000000	1.00000000	0.00000000
179893.65015872	981311.99149234	0.00000000	1.00000000	0.00000000
189893.65015872	981311.99149234	0.00000000	2.00000000	0.00000000
199893.65015872	981311.99149234	0.00000000	2.00000000	0.00000000
209893.65015872	981311.99149234	0.00000000	4.00000000	0.00000000
219893.65015872	981311.99149234	0.00000000	7.00000000	0.09215543
229893.65015872	981311.99149234	0.00000000	6.00000000	0.07665404
239893.65015872	981311.99149234	0.00000000	2.00000000	0.00000000
249893.65015872	981311.99149234	0.00000000	2.00000000	0.00000000
259893.65015872	981311.99149234	0.00000000	2.00000000	0.00000000
269893.65015872	981311.99149234	0.00000000	2.00000000	0.00000000
279893.65015872	981311.99149234	0.00000000	2.00000000	0.00000000
289893.65015872	981311.99149234	0.00000000	2.00000000	0.00000000
299893.65015872	981311.99149234	0.00000000	2.00000000	0.00000000
309893.65015872	981311.99149234	0.00000000	4.00000000	0.00000000
319893.65015872	981311.99149234	0.00000000	8.00000000	6.80010557
329893.65015872	981311.99149234	0.00000000	7.00000000	8.70581818
339893.65015872	981311.99149234	8.00000000	8.00000000	67.26817322
349893.65015872	981311.99149234	1.00000000	7.00000000	71.48636627
359893.65015872	981311.99149234	0.00000000	4.00000000	0.00000000
369893.65015872	981311.99149234	0.00000000	2.00000000	0.00000000
379893.65015872	981311.99149234	0.00000000	1.00000000	0.00000000
109893.65015872	971311.99149234	0.00000000	3.00000000	0.00000000
119893.65015872	971311.99149234	0.00000000	3.00000000	0.00000000
129893.65015872	971311.99149234	0.00000000	3.00000000	0.00000000
139893.65015872	971311.99149234	0.00000000	4.00000000	0.00000000
149893.65015872	971311.99149234	4.00000000	6.00000000	59.71297455
159893.65015872	971311.99149234	0.00000000	6.00000000	0.00000000
169893.65015872	971311.99149234	0.00000000	6.00000000	0.00000000
179893.65015872	971311.99149234	0.00000000	3.00000000	0.00000000
189893.65015872	971311.99149234	0.00000000	3.00000000	0.00000000
199893.65015872	971311.99149234	0.00000000	4.00000000	0.00000000
209893.65015872	971311.99149234	0.00000000	6.00000000	0.00000000
219893.65015872	971311.99149234	0.00000000	9.00000000	17.00453568
